BioSample,LibraryName,Run,refGenome,refPath,BioProject,fq1,fq2,SampleType,lat,long
AGW168_01_Sis_B,AGW168_01_Sis_B,AGW168_01_Sis_B,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_01_Sis_B_R1_001.fastq,samples/AGW168_01_Sis_B_R2_001.fastq,include,,
AGW168_02_Sis_10,AGW168_02_Sis_10,AGW168_02_Sis_10,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_02_Sis_10_R1_001.fastq,samples/AGW168_02_Sis_10_R2_001.fastq,include,,
AGW168_03_1114_01,AGW168_03_1114_01,AGW168_03_1114_01,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_03_1114_01_R1_001.fastq,samples/AGW168_03_1114_01_R2_001.fastq,include,,
AGW168_04_1114_03,AGW168_04_1114_03,AGW168_04_1114_03,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_04_1114_03_R1_001.fastq,samples/AGW168_04_1114_03_R2_001.fastq,include,,
AGW168_05_0204_01,AGW168_05_0204_01,AGW168_05_0204_01,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_05_0204_01_R1_001.fastq,samples/AGW168_05_0204_01_R2_001.fastq,include,,
AGW168_06_0204_05,AGW168_06_0204_05,AGW168_06_0204_05,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_06_0204_05_R1_001.fastq,samples/AGW168_06_0204_05_R2_001.fastq,include,,
AGW168_07_0204_06,AGW168_07_0204_06,AGW168_07_0204_06,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_07_0204_06_R1_001.fastq,samples/AGW168_07_0204_06_R2_001.fastq,include,,
AGW168_09_OZD_Sis_K1,AGW168_09_OZD_Sis_K1,AGW168_09_OZD_Sis_K1,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_09_OZD_Sis_K1_R1_001.fastq,samples/AGW168_09_OZD_Sis_K1_R2_001.fastq,include,,
AGW168_10_OZD_Sis_O1,AGW168_10_OZD_Sis_O1,AGW168_10_OZD_Sis_O1,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_10_OZD_Sis_O1_R1_001.fastq,samples/AGW168_10_OZD_Sis_O1_R2_001.fastq,include,,
AGW168_11_0325_01,AGW168_11_0325_01,AGW168_11_0325_01,ena_PRJEB60539_sequence.fasta,ena_PRJEB60539_sequence.fasta,AGW168,samples/AGW168_11_0325_01_R1_001.fastq,samples/AGW168_11_0325_01_R2_001.fastq,include,,
